speaker,vowel,F1,F2
mas0M0kui0Tang2,ā,584.8750375238435,1223.1304000750695
mas0M0kui0Tang2,o,422.09835400928137,975.286170645134
mas0M0kui0Tang2,i,306.8654307636511,2313.422415997498
mas0M0kui0Tang2,a,379.4981789498266,1529.2636514856742
mas0M0kui0Tang2,i,306.71003208219526,2267.3198999848505
mas0M0kui0Tang2,a,325.3120209040019,1440.7297728298495
mas0M0kui0Tang2,a,420.3515551593106,1499.9477636805948
mas0M0kui0Tang2,i,310.1882417495225,2041.8337327465485
mas0M0kui0Tang2,i,330.9616281795348,2253.52365921082
mas0M0kui0Tang2,a,578.9849956371492,1262.0470775914257
mas0M0kui0Tang2,a,433.8559632013833,1496.994496987576
mas0M0kui0Tang2,a,486.233425309797,1439.9033069588502
mas0M0kui0Tang2,a,543.3445712412289,1343.2436807001322
mas0M0kui0Tang2,i,314.04443429370957,2327.309749417901
mas0M0kui0Tang2,ā,616.4277552948224,1232.3053523486228
mas0M0kui0Tang2,a,521.3731638301488,1494.5258756307692
mas0M0kui0Tang2,u,342.96615814782893,1174.387448444806
mas0M0kui0Tang2,u,404.87112618863705,1160.9911988839854
mas0M0kui0Tang2,a,552.0802493221469,1215.5628198633285
mas0M0kui0Tang2,a,330.51761321042557,1791.622073855621
mas0M0kui0Tang2,o,428.8282700995048,1125.4059679595118
mas0M0kui0Tang2,a,471.1414148183059,1261.1128021026736
mas0M0kui0Tang2,a,521.9187897943858,1303.0406480109355
mas0M0kui0Tang2,a,418.19750895882703,1227.4986247509755
mas0M0kui0Tang2,ā,639.4431116474886,1321.3581304030292
mas0M0kui0Tang2,a,508.42448379836026,1299.7396265573632
mas0M0kui0Tang2,a,625.1368527105701,1286.8441279266544
mas0M0kui0Tang2,ā,638.8844422975994,1182.2456347074865
mas0M0kui0Tang2,o,418.76176276392937,914.6191693915448
mas0M0kui0Tang2,i,341.956882673137,2285.646167125319
mas0M0kui0Tang2,a,377.67738472476026,1452.8644679227307
mas0M0kui0Tang2,i,306.4586838572938,2320.6347863115793
mas0M0kui0Tang2,a,504.577408679616,1622.3222697105527
mas0M0kui0Tang2,i,315.157970958498,2007.7003576819297
mas0M0kui0Tang2,i,337.0657227773496,2257.140712595007
mas0M0kui0Tang2,i,300.14270139313413,2103.6902118244293
mas0M0kui0Tang2,ā,537.858236198733,1267.759848674013
mas0M0kui0Tang2,a,550.4455216560889,1244.615062327369
mas0M0kui0Tang2,a,461.7021022374753,1061.2125699335118
mas0M0kui0Tang2,a,384.3286368631467,1386.6443153281198
mas0M0kui0Tang2,a,570.8594636155502,1422.9552876782832
mas0M0kui0Tang2,a,536.225412259338,1408.117080579016
mas0M0kui0Tang2,a,346.44049360975015,2199.927136051667
mas0M0kui0Tang2,a,566.489114276261,1690.2058119561023
mas0M0kui0Tang2,a,496.5181896751486,1211.4562467345293
mas0M0kui0Tang2,ā,595.9174296605348,1572.204202365587
mas0M0kui0Tang2,a,630.8696910366646,1203.7091259758406
mas0M0kui0Tang2,a,578.3374312980424,1303.6702943903804
mas0M0kui0Tang2,a,433.2062431014283,1450.2455117774755
mas0M0kui0Tang2,a,544.1339328685247,1476.8320119155271
mas0M0kui0Tang2,a,548.2135368954382,1231.887086350897
mas0M0kui0Tang2,ā,519.8876686408217,1737.1378246519455
mas0M0kui0Tang2,i,364.54551527927356,2197.4879326512882
mas0M0kui0Tang2,a,448.077420851484,1314.2300577671551
mas0M0kui0Tang2,ā,666.4787446873758,1283.8514859904597
mas0M0kui0Tang2,a,649.9838467953786,1380.4051777383406
mas0M0kui0Tang2,ā,574.9848855873198,1704.741433285715
mas0M0kui0Tang2,i,317.2122080777064,2420.609502370925
mas0M0kui0Tang2,a,657.562841760485,1312.671958087841
mas0M0kui0Tang2,ā,628.125342392327,1061.91362905253
mas0M0kui0Tang2,i,320.55528716539334,2285.2497955736912
mas0M0kui0Tang2,a,255.0797535649373,2035.504976092723
mas0M0kui0Tang2,o,491.0627508009577,1160.4569450455874
mas0M0kui0Tang2,i,372.093898924588,2120.176528450003
mas0M0kui0Tang2,ā,574.9228530090342,1312.8450788791306
mas0M0kui0Tang2,a,501.547830907627,1334.505497832752
mas0M0kui0Tang2,a,530.3662856901992,1459.4896711624167
mas0M0kui0Tang2,a,395.1931034833666,1865.8822537823617
mas0M0kui0Tang2,a,518.6715400771163,1705.928360142117
mas0M0kui0Tang2,ā,574.591569767965,1630.601510492748
mas0M0kui0Tang2,i,315.3067346029068,1080.3676884756978
mas0M0kui0Tang2,a,572.8349951052735,1233.6048816589814
mas0M0kui0Tang2,a,517.8926069201364,1206.743340788677
mas0M0kui0Tang2,a,525.8958579926898,1055.0061601836849
mas0M0kui0Tang2,a,562.388834011784,1267.7516903006463
mas0M0kui0Tang2,ā,597.9947876349883,1276.8602324476628
mas0M0kui0Tang2,a,554.6945315891841,1459.87391804247
mas0M0kui0Tang2,a,557.0354532530552,1161.290195428172
mas0M0kui0Tang2,a,486.581736603343,1704.832524938919
mas0M0kui0Tang2,ā,637.7485967077652,1374.473918079362
mas0M0kui0Tang2,a,354.98263383969027,842.3357857054931
mas0M0kui0Tang2,o,524.2651655525589,1048.7830353082813
mas0M0kui0Tang2,a,597.8158140858518,1094.3484096446753
mas0M0kui0Tang2,i,418.6543629682028,2308.383315343869
