speaker,vowel,F1,F2,F1_lob,F2_lob
mas0M0kui0Tang2,ā,584.8750375238435,1223.1304000750695,0.7282884887742942,-0.6738923308018525
mas0M0kui0Tang2,o,422.09835400928137,975.286170645134,-0.5380241289784491,-1.2377607139918323
mas0M0kui0Tang2,i,306.8654307636511,2313.422415997498,-1.434472573164995,1.806622134421634
mas0M0kui0Tang2,a,379.4981789498266,1529.2636514856742,-0.8694299423389193,0.02258893047515444
mas0M0kui0Tang2,i,306.71003208219526,2267.3198999848505,-1.4356814890051564,1.7017346765823524
mas0M0kui0Tang2,a,325.3120209040019,1440.7297728298495,-1.2909682988126439,-0.17883377414065088
mas0M0kui0Tang2,a,420.3515551593106,1499.9477636805948,-0.5516132584325831,-0.04410740656061281
mas0M0kui0Tang2,i,310.1882417495225,2041.8337327465485,-1.4086229404844033,1.1887329381726632
mas0M0kui0Tang2,i,330.9616281795348,2253.52365921082,-1.2470174772091618,1.6703469618179403
mas0M0kui0Tang2,a,578.9849956371492,1262.0470775914257,0.6824672188038566,-0.5853533154665083
mas0M0kui0Tang2,a,433.8559632013833,1496.994496987576,-0.4465564288564451,-0.05082635950598325
mas0M0kui0Tang2,a,486.233425309797,1439.9033069588502,-0.039088726961555166,-0.18071405989720837
mas0M0kui0Tang2,a,543.3445712412289,1343.2436807001322,0.4052044183820813,-0.40062358655277597
mas0M0kui0Tang2,i,314.04443429370957,2327.309749417901,-1.3786238941237412,1.8382170933222066
mas0M0kui0Tang2,ā,616.4277552948224,1232.3053523486228,0.9737511912639131,-0.6530184717806713
mas0M0kui0Tang2,a,521.3731638301488,1494.5258756307692,0.2342790141183444,-0.056442699803163396
mas0M0kui0Tang2,u,342.96615814782893,1174.387448444806,-1.153628869941697,-0.7847870221605384
mas0M0kui0Tang2,u,404.87112618863705,1160.9911988839854,-0.6720424385248001,-0.8152647201809591
mas0M0kui0Tang2,a,552.0802493221469,1215.5628198633285,0.4731631649276385,-0.6911092707664005
mas0M0kui0Tang2,a,330.51761321042557,1791.622073855621,-1.2504716682254309,0.6194784355416281
mas0M0kui0Tang2,o,428.8282700995048,1125.4059679595118,-0.485669101971742,-0.8962243885701615
mas0M0kui0Tang2,a,471.1414148183059,1261.1128021026736,-0.15649622599640442,-0.5874788780043505
mas0M0kui0Tang2,a,521.9187897943858,1303.0406480109355,0.2385236825079978,-0.492089178041158
mas0M0kui0Tang2,a,418.19750895882703,1227.4986247509755,-0.5683705471547769,-0.6639542185001093
mas0M0kui0Tang2,ā,639.4431116474886,1321.3581304030292,1.1527979412171991,-0.4504152233789991
mas0M0kui0Tang2,a,508.42448379836026,1299.7396265573632,0.13354544126587936,-0.49959930500349436
mas0M0kui0Tang2,a,625.1368527105701,1286.8441279266544,1.0415031549277538,-0.5289377486705151
mas0M0kui0Tang2,ā,638.8844422975994,1182.2456347074865,1.1484518024973183,-0.7669089267417546
mas0M0kui0Tang2,o,418.76176276392937,914.6191693915448,-0.5639809644603232,-1.375783713310912
mas0M0kui0Tang2,i,341.956882673137,2285.646167125319,-1.1614804752256718,1.7434286173538278
mas0M0kui0Tang2,a,377.67738472476026,1452.8644679227307,-0.8835947149079989,-0.15122622839199906
mas0M0kui0Tang2,i,306.4586838572938,2320.6347863115793,-1.4376368392541616,1.8230309392476436
mas0M0kui0Tang2,a,504.577408679616,1622.3222697105527,0.10361732343521546,0.23430583314845102
mas0M0kui0Tang2,i,315.157970958498,2007.7003576819297,-1.3699611944145056,1.11107637519852
mas0M0kui0Tang2,i,337.0657227773496,2257.140712595007,-1.199530995470653,1.6785760904458065
mas0M0kui0Tang2,i,300.14270139313413,2103.6902118244293,-1.486771691465074,1.3294621087799199
mas0M0kui0Tang2,ā,537.858236198733,1267.759848674013,0.36252376449770596,-0.5723562366106392
